producto,unidades,tipo,grupos_detectados,tallos_en_nombre,precio,puntos,tallos_por_variedad_DICTAR,accion,confirmado
Event lisianthus 5 tallos,63,EVENTO_1VAR,Lisianthus,5,42500,Online,,PRELLENADA desde el nombre — confirmar,
Bouquet petit,58,BOUQUET,,,65000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,,dictar receta completa,
Matricaria,58,PAQUETE_1VAR,Matricaria,,45000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Celosias plumosas,53,PAQUETE_1VAR,Celosia,,50000,Del Este | Jardines | Online | San Lucas | Tesoro,Celosia plumosa 10,"Vanessa 2026-09-11: ""Las plumosas piden mas o menos diez tallos"". APROXIMADO. Aparte: ""en una ocasion le agregamos tres tallos de colita de conejo hace poco"" — fue UNA vez, no entra a la receta base",DICTADO 2026-09-11 — falta validar
Bouquet forever Dream mediano,49,BOUQUET,,,120000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,,dictar receta completa,
Bouquet Greenery,48,BOUQUET,,,90000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,,dictar receta completa,
Paquete de lisianthus solo,48,PAQUETE_1VAR,Lisianthus,,60000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Bocas de dragon y plumas,48,PAQUETE_1VAR,Boca de Dragón,,50000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Edicion especial lisianthus,44,PAQUETE_1VAR,Lisianthus,,75000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Event amaranto cascada magenta 10 tll,44,EVENTO_1VAR,Amaranto,10,38250,Online,,PRELLENADA desde el nombre — confirmar,
Bouquet forever Dream grande,40,BOUQUET,,,140000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,,dictar receta completa,
My love,39,BOUQUET,,,65000,Jardines | Online | San Lucas | Tesoro,,dictar receta completa,
Green ball con statice,39,MIXTO_2,Green Ball | Statice,,45000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Paquete gomphenas salmon rose,39,PAQUETE_1VAR,Gomphrena,,45000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Esparragos con ammi,38,MIXTO_2,Esparrago | Ammi,,45000,Del Este | Jardines | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Paquete cristata plus,37,PAQUETE_1VAR,Celosia,,65000,Del Este | Jardines | San Lucas | Tesoro,Celosia cristata 10 | Strawflower o Helipterum 1 | Statice 1 | Celosia plumosa 2,"Vanessa 2026-09-11: ""tiene diez tallos de celosa cristata, tiene un strawflower, que tambien puede ser helipterum, tiene como un tallo de statice, y 2 celosias plumosas"". Total 14. Strawflower/Helipterum va como SUSTITUCION",DICTADO 2026-09-11 — falta validar
Bouquet cristata pop,36,PAQUETE_1VAR,Celosia,,85000,Del Este | Jardines | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Greenery con lisianthus,35,PAQUETE_1VAR,Lisianthus,,75000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Event bocas de dragon 10 tallos,34,EVENTO_1VAR,Boca de Dragón,10,32300,Online,,PRELLENADA desde el nombre — confirmar,
Celosias baby con follaje,31,PAQUETE_1VAR,Celosia,,75000,Jardines | Online | Tesoro | Viva Envigado,,dictar 1 numero: tallos por paquete,
Paquete frambuesa pop,31,BOUQUET,,,65000,Jardines | Online | San Lucas | Tesoro,,dictar receta completa,
Paquete statice lilac dreams,27,PAQUETE_1VAR,Statice,,40000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Statice ruso con statice,26,PAQUETE_1VAR,Statice,,45000,Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Paquete gomphrenas rose,25,PAQUETE_1VAR,Gomphrena,,45000,Del Este | Jardines | Online | Tesoro,,dictar 1 numero: tallos por paquete,
Cristata y gomphenas,25,MIXTO_2,Gomphrena | Celosia,,65000,Del Este | Jardines | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
My love dusty miller,22,PAQUETE_1VAR,Dusty Miller,,75000,Del Este | Jardines | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Gomphenas snow,21,PAQUETE_1VAR,Gomphrena,,45000,Del Este | Jardines | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Paquete celosia cristata,21,PAQUETE_1VAR,Celosia,,60000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Sobres,20,NO_FLOR,,,9500,Jardines,,no lleva receta — confirmar,
Bouquet  Dream Land,18,BOUQUET,,,285000,Online | Tesoro,,dictar receta completa,
Event zinnias 10 tallos,18,EVENTO_1VAR,Zinnia,10,45000,Online,,PRELLENADA desde el nombre — confirmar,
Event celosias dream,18,PAQUETE_1VAR,Celosia,,38250,Online,,dictar 1 numero: tallos por paquete,
Event ammi majus 10 tallos,17,EVENTO_1VAR,Ammi,10,38000,Online,,PRELLENADA desde el nombre — confirmar,
Event gomphenas blancas,17,PAQUETE_1VAR,Gomphrena,,38250,Online,,dictar 1 numero: tallos por paquete,
Dianthus coral,16,BOUQUET,,,45000,Viva Envigado,,dictar receta completa,
Boutonnieres,16,NO_FLOR,,,21000,Online,,no lleva receta — confirmar,
Paquete gomphenas y statice,14,MIXTO_2,Gomphrena | Statice,,45000,Del Este | Online | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Event strawflower dreams 10 tallos,13,EVENTO_1VAR,Strawflower,10,38250,Online,,PRELLENADA desde el nombre — confirmar,
Event ammobium 10 tallos,12,EVENTO_1VAR,Ammobium,10,38250,Online,,PRELLENADA desde el nombre — confirmar,
Paquete celosias cristata y statice,12,MIXTO_2,Celosia | Statice,,57000,Jardines | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Event dahlias 10 tallos,12,EVENTO_1VAR,Dahlias,10,60000,Online,,PRELLENADA desde el nombre — confirmar,
Green ball y mini green,11,PAQUETE_1VAR,Green Ball,,40000,Jardines | Online | Viva Envigado,,dictar 1 numero: tallos por paquete,
Nigellas,11,BOUQUET,,,40000,Jardines | San Lucas | Viva Envigado,,dictar receta completa,
Florero mamá de los sueños grande,11,NO_FLOR,,,360000,Online | Viva Envigado,,no lleva receta — confirmar,
Paquete amaranto cascada verde,11,PAQUETE_1VAR,Amaranto,,40000,Jardines | Online | San Lucas,,dictar 1 numero: tallos por paquete,
Paquete green ball y plumas,11,PAQUETE_1VAR,Green Ball,,45000,Del Este | Jardines | San Lucas,,dictar 1 numero: tallos por paquete,
Dahlias,10,PAQUETE_1VAR,Dahlias,,70000,Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Paquete ammi y matricaria,10,MIXTO_2,Matricaria | Ammi,,55000,Jardines | Online | Tesoro,,dictar el reparto entre 2 variedades,
Paquete celosias cristata y green ball,10,MIXTO_2,Green Ball | Celosia,,70000,Jardines | Tesoro,,dictar el reparto entre 2 variedades,
Paquete statice dream mix,10,PAQUETE_1VAR,Statice,,40000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Centro de mesa grande,9,BOUQUET,,,235000,Online | Tesoro,,dictar receta completa,
Paquete celosias y campanulas,9,MIXTO_2,Campanula | Celosia,,65000,Jardines | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Anemonas,7,BOUQUET,,,65000,Jardines | Viva Envigado,,dictar receta completa,
Event campanulas blancas 8-10 tallos,7,EVENTO_1VAR,Campanula,8,38250,Online,,PRELLENADA desde el nombre — confirmar,
Paquete matricarias snowball,7,PAQUETE_1VAR,Matricaria,,40000,Jardines | Online | Tesoro,,dictar 1 numero: tallos por paquete,
Laskpur,6,PAQUETE_1VAR,Larkspur,,50000,Online,,dictar 1 numero: tallos por paquete,
Dianthus y green ball,5,PAQUETE_1VAR,Green Ball,,60000,Viva Envigado,,dictar 1 numero: tallos por paquete,
Paquete plumas con lisianthus,5,PAQUETE_1VAR,Lisianthus,,60000,Jardines | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Event gomphenas rose 30 tallos,5,EVENTO_1VAR,Gomphrena,30,38250,Online,,PRELLENADA desde el nombre — confirmar,
Edicion especial mon amour,5,BOUQUET,,,90000,Del Este | Jardines | San Lucas,,dictar receta completa,
Colita de conejo,5,PAQUETE_1VAR,Colitas de conejo,,36000,Online,,dictar 1 numero: tallos por paquete,
Paquete trachellium,5,PAQUETE_1VAR,Trachellium,,50000,Del Este | Jardines | San Lucas,,dictar 1 numero: tallos por paquete,
Florero mamá de los sueños mediano,4,NO_FLOR,,,310000,Online,,no lleva receta — confirmar,
Paquete statice y larkspur,4,MIXTO_2,Larkspur | Statice,,65000,Online | Tesoro,,dictar el reparto entre 2 variedades,
Event gomphenas frambuesa 30 tallos,4,EVENTO_1VAR,Gomphrena,30,38240,Online,,PRELLENADA desde el nombre — confirmar,
Paquete campanulas blancas,4,PAQUETE_1VAR,Campanula,,50000,Jardines | Online | San Lucas,,dictar 1 numero: tallos por paquete,
Paquete campanulas lavanda,4,PAQUETE_1VAR,Campanula,,45000,Jardines,,dictar 1 numero: tallos por paquete,
Dream majesty,4,BOUQUET,,,400000,Online | Tesoro,,dictar receta completa,
Event celosias cristata,4,PAQUETE_1VAR,Celosia,,42500,Online,,dictar 1 numero: tallos por paquete,
Edicion especial lisianthus pink,4,PAQUETE_1VAR,Lisianthus,,75000,Online | San Lucas,,dictar 1 numero: tallos por paquete,
Dianthus mini green,3,BOUQUET,,,85000,Viva Envigado,,dictar receta completa,
Florero mediano,3,NO_FLOR,,,110000,Online | Viva Envigado,,no lleva receta — confirmar,
Paquete zinnias pink,3,PAQUETE_1VAR,Zinnia,,58000,Jardines | Online,,dictar 1 numero: tallos por paquete,
Paquete plumas con celosias,2,PAQUETE_1VAR,Celosia,,,Jardines,,dictar 1 numero: tallos por paquete,
Ammi y matricaria,2,MIXTO_2,Matricaria | Ammi,,,Tesoro,,dictar el reparto entre 2 variedades,
Event statice ruso solo,2,PAQUETE_1VAR,Statice,,40000,Online,,dictar 1 numero: tallos por paquete,
Corona floral (novias),2,BOUQUET,,,140000,Online,,dictar receta completa,
Edicion Especial Dianthus,2,BOUQUET,,,85000,Online,,dictar receta completa,
Mon amour,2,BOUQUET,,,85000,Online | San Lucas,,dictar receta completa,
Paquete celosia plumosa pink,2,PAQUETE_1VAR,Celosia,,50000,Jardines,,dictar 1 numero: tallos por paquete,
Bocas de dragon con cardamos,1,PAQUETE_1VAR,Boca de Dragón,,60000,Jardines,,dictar 1 numero: tallos por paquete,
Paquete green ball y celosias pink,1,MIXTO_2,Green Ball | Celosia,,50000,San Lucas,,dictar el reparto entre 2 variedades,
Paquete green ball y celosias lemon,1,MIXTO_2,Green Ball | Celosia,,50000,Jardines,,dictar el reparto entre 2 variedades,
Celosias plumosss pink 8 a 10 tallos,1,EVENTO_1VAR,Celosia,10,38250,Online,,PRELLENADA desde el nombre — confirmar,
Set 10 floreros 250ml,1,NO_FLOR,,,350000,Online,,no lleva receta — confirmar,
Event campanulas lavanda 8-10 tallos,1,EVENTO_1VAR,Campanula,8,38250,Online,,PRELLENADA desde el nombre — confirmar,
