variedad,cultivar,siembra,categoria,dato,valor,unidad,confianza,fuente,fecha,nota
Lisianthus,,2026-S10-Mini3C+3B,PRODUCTO,tallos atribuidos a venta,4695,tallos,MEDIA,Vanessa (dictado),2026-09-11,"68% de lo cosechado, recortado a la ventana 25-35. El 32% restante: seco de sacada de cama y descarte"
Lisianthus,,,PRODUCTO,conteo depende de,la ramificacion del tallo,,ALTA,Vanessa (dictado),2026-09-11,'depende de la cantidad de flores que el tallo tenga'. Un tallo con varias flores reemplaza a dos
Lisianthus,,,COMERCIAL,rol de cartera,FOCAL,,ALTA,roles_cartera.csv,2026-09-11,
Lisianthus,,2026-S10-Mini3C+3B,COMERCIAL,ingreso atribuido,31672442,COP,MEDIA,Vanessa (dictado),2026-09-11,dentro de la ventana 25-35
Lisianthus,,2026-S10-Mini3C+3B,COMERCIAL,ticket con vs sin,2.04,x,MEDIA,Vanessa (dictado),2026-09-11,$85.607 contra $41.998. 52% del ingreso con 20% del catalogo
Lisianthus,,,COMERCIAL,precio de compra en mercado,700-900,COP/tallo,MEDIA,Vanessa (dictado),2026-09-11,'si yo salgo a comprar un lisianthus tengo que pagar entre setenta y noventa centavos por tallo'. Una rosa: $3.000
Lisianthus,,2026-S10-Mini3C+3B,DECISION,no poner plastico,costo hasta $1.500.000 en mano de obra y el fusarium aparecio igual,,MEDIA,Vanessa (dictado),2026-09-11,el plastico habria costado $400-500 mil: era 3x mas barato
Lisianthus,,2026-S10-Mini3C+3B,DECISION,parar el fertirriego,el cultivo mejoro,,MEDIA,Vanessa (dictado),2026-09-11,
Lisianthus,,,DECISION,portafolio,David propone sacarlo; Vanessa lo defiende,,ALTA,Vanessa (dictado),2026-09-11,"'todo lo que se ponga alrededor de un lisianthus se vende'. Siembra siguiente YA PEDIDA: 26.000 semillas, entrega estimada semana 38"
Lisianthus,Megalo 1 Yellow,2026-S10-Mini3C+3B,COSECHA,orden de apertura,1,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Celeb 2 Crystal,2026-S10-Mini3C+3B,COSECHA,orden de apertura,2,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Celeb 1 Beige Neo,2026-S10-Mini3C+3B,COSECHA,orden de apertura,3,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Celeb 2 Apricot,2026-S10-Mini3C+3B,COSECHA,orden de apertura,4,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Corelli 2 White Improved,2026-S10-Mini3C+3B,COSECHA,orden de apertura,5,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Corelli 1 Yellow,2026-S10-Mini3C+3B,COSECHA,orden de apertura,6,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Megalo 3 Pink Pop,2026-S10-Mini3C+3B,COSECHA,orden de apertura,7,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Megalo 3 Pink Rim,2026-S10-Mini3C+3B,COSECHA,orden de apertura,8,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,Jolly 3 Jolly Pink,2026-S10-Mini3C+3B,COSECHA,orden de apertura,9,puesto,ALTA,Vanessa (dictado),2026-09-11,"Secuencia dictada por Vanessa. EL REGISTRO NO LA TIENE: todo se anoto como 'Mix'. Los tres ultimos (7-9) son de flor mas spray: 'primero tuvieron la primera flor y luego se demoraban en aperturar las demas', y se esperaba el tallo lleno"
Lisianthus,,,COSECHA,REGLA: la flor grande abre primero,flor grande antes que spray,,MEDIA,Vanessa (dictado),2026-09-11,"'las de flor grande fueron las que primero abrieron, exceptuando el Megalo Yellow, y luego todas las otras que son de flor mas mediana, que generan mas spray, se demoran mas'. Megalo 1 Yellow es la excepcion y campo_siembras la corrobora: 'primera en florecer, elongo, buena resiliencia'"
Lisianthus,,2026-S10-Mini3C+3B,COSECHA,PALANCA DE TIMING: la mezcla de cultivares,"una siembra, apertura escalonada",,ALTA,Vanessa (dictado),2026-09-11,"HALLAZGO. Sembrar cultivares de ciclo distinto EN LA MISMA SIEMBRA reparte la cosecha en el tiempo sin costo operativo: 'no tengo que hacer siembras, camas diferentes, protocolos distintos'. Al reves, mezclar cultivares de ciclo PARECIDO concentra la flor para un pico. La mezcla de cultivares es la palanca, no la fecha de siembra"
Lisianthus,,2026-S10-Mini3C+3B,COSECHA,fin de la cosecha buena,semana 34-35,,ALTA,Vanessa (dictado),2026-09-11,"'se acabo hace mas o menos dos o tres semanas'. Ya no alcanza para ediciones especiales, paquetes solos ni mayoristas. El registro lo corrobora: 710 -> 547 -> 342 en las semanas 33-35"
Lisianthus,,2026-S10-Mini3C+3B,COSECHA,estado al 2026-09-11,"solo restos, abren segun el clima",,ALTA,Vanessa (dictado),2026-09-11,'hoy abrio un poquito de segunda floracion de ese primer grupo'
Lisianthus,,,COMERCIAL,PICO 1,agosto - septiembre,,ALTA,Vanessa (dictado),2026-09-11,"'deberian ser como una fecha muy buena, que es nuestro pico'. SIEMBRA GRANDE"
Lisianthus,,,COMERCIAL,PICO 2,marzo - abril - mayo,,ALTA,Vanessa (dictado),2026-09-11,'ahi se junta madres con el dia de la mujer'. SIEMBRA GRANDE
Lisianthus,,,COMERCIAL,PICO 3,noviembre y algo de diciembre,,ALTA,Vanessa (dictado),2026-09-11,SIEMBRA GRANDE
Lisianthus,,,COMERCIAL,TEMPORADA MALA,junio - julio,,ALTA,Vanessa (dictado),2026-09-11,"'son los peores meses, porque hay muchos festivos' y vacaciones"
Lisianthus,,2026-S10-Mini3C+3B,COMERCIAL,venta perdida en junio,"amarillo, blanco y beige neo en flor plena",,MEDIA,Vanessa (dictado),2026-09-11,"'ahi todo el mundo estaba en vacaciones... se perdieron ventas'. Quitaban la flor marchita y dejaban la siguiente, pero el lisianthus es principal de cosechas y otros bouquets: estar listo en venta baja es oportunidad perdida, no solo tallo perdido"
Lisianthus,,,COMERCIAL,REGLA de programacion,"siembras escalonadas: grandes en pico, pequenas entre picos",,ALTA,Vanessa (dictado),2026-09-11,"'unas siembras mayores en los momentos donde tenemos picos, y otros menores, donde simplemente las necesitamos como flor principal de los bouquets'. El ciclo largo (33 sem de semilla a cosecha) obliga a decidirlo con 8 meses de anticipacion"
Lisianthus,,,COMERCIAL,agosto 2025,cosecha extraordinaria + mejor mes de venta del ano,,BAJA,Vanessa (dictado),2026-09-11,"Vanessa de memoria. NO SE PUEDE VERIFICAR: registro_tallos arranca el 2026-05-31 y ventas_puntos el 2026-04-21 — cero filas de 2025 en el repositorio. Si existe, esta en las hojas viejas de venta o en Wix"
Lisianthus,,,PROGRAMACION,ciclo de semilla a cosecha,33,,MEDIA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,promedio entre lo observado en la siembra S10 (30 sem: 15 en bandeja + 15 a cosecha) y lo documentado en ciclos_variedad (37 sem). Rango 30-37
Lisianthus,,,PROGRAMACION,SEMILLA para MADRES 2027,semana 40 de 2026 (28/09),,ALTA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,"URGENTE: dos semanas de margen. Cosecha arranca sem 20 de 2027 (17/05). Con ciclo rapido se puede estirar hasta el 19/10, pero eso apuesta a que se repita el ciclo de 30 semanas"
Lisianthus,,,PROGRAMACION,SEMILLA para AGOSTO 2027,semana 52 de 2026 (21/12),,ALTA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,cosecha arranca sem 32 de 2027 (09/08). 14 semanas de margen
Lisianthus,,,PROGRAMACION,SEMILLA para NOVIEMBRE 2027,semana 13 de 2027 (29/03),,ALTA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,cosecha arranca sem 46 de 2027 (15/11). 28 semanas de margen
Lisianthus,,,PROGRAMACION,Dia de la Mujer 2027,cubierto por la siembra que ya esta en bandeja,,MEDIA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,"las 26.000 semillas entregadas sem 38 cosechan sem 2-6 de 2027 con ventana de 8-11 semanas, asi que llegan a la sem 10 EN LA COLA de su ventana. Apretado pero llega. Mandar semilla nueva para ese pico ya no alcanza: habria que haberla enviado en julio de 2026"
Lisianthus,,,PROGRAMACION,HUECO SIN LISIANTHUS,noviembre y diciembre de 2026,,ALTA,derivado: ciclo 33 sem (promedio observado 30 + documentado 37),2026-09-11,la siembra S10 se agota hacia finales de octubre con la segunda floracion; la siguiente arranca en enero. YA NO SE PUEDE EVITAR: cualquier semilla enviada hoy cosecha en mayo. Solo queda comprar lisianthus o cubrir el rol FOCAL con otra variedad. Y diciembre es temporada alta
