id,variedad,nombre_homologado,grupo,bloque,fecha_siembra,problema,momento_reportado,tipo_semana,severidad,desenlace,confianza,fuente,texto_original
11,Lisianthus Jolly 3 Pink,Lisianthus Rosado,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
12,Lisianthus Megalo 3 Pink Rim,Lisianthus Pastel,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
13,Lisianthus Megalo 3 Pink Pop,Lisianthus Rosado,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
14,Lisianthus Celeb 2 Madonna,Lisianthus Blanco,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
15,Lisianthus Celeb 2 Apricot,Lisianthus Rosado,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
16,Lisianthus Corelli I Yellow,Lisianthus Amarillo,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
17,Lisianthus Megalo I Yellow,Lisianthus Amarillo,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,TOLERADA,RESILIENTE,alta,campo_siembras.csv COMENTARIOS,"Mucha mortalidad en campo por fusarium, primera en florecer. Esta variedad le fue bien, elongo, y hoy cosechamos unos 10 tallos, Buena resiliencia."
18,Lisianthus Celeb 2 Crystal,Lisianthus Blanco,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
19,Lisianthus Celeb 2 White Improved,Lisianthus Blanco,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
20,Lisianthus Celeb 2 Lovely Pink,Lisianthus Rosado,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
21,Matricaria Vegmo Single,Matricaria Vegmo,Matricaria,3C,SIN_DATO,MOSCA_BLANCA,semana 20,CAMPO,GRAVE,SACRIFICADO,alta,campo_siembras.csv COMENTARIOS,"Mosca blanca, semana 20 aun desarrollo vegetativo, cosechamos primeros tallos en 24, pero no tan buena mucha perdida | Sacrificada por mosca blanca. Fin cosecha anticipado."
22,Lisianthus,Lisianthus Blanco,Lisianthus,3B,SIN_DATO,OIDIO,SIN_DATO,SIN_DATO,GRAVE,EN_MANEJO,alta,campo_siembras.csv COMENTARIOS,"Mucha afectacion por oidio. Ya hemos hecho 3 desyerbes, toca hacer uno nuevo en el 3c. Muchos trabajos culturales en enfermedad."
23,Statice Hipster White,Statice White,Statice,Inv 4,SIN_DATO,BOTRYTIS,sem 26-27,ISO,ALERTA_PREVENTIVA,EN_MANEJO,alta,campo_siembras.csv COMENTARIOS,"Sem24: Roseta espectacular, flores blancas iniciando. ALERTA: activar Botrytis sem 26-27. Glukoplant cada 10 dias cosecha. No quitar follaje viejo sin lesion activa. Cambiar Formula C al inicio cosecha."
24,Matricaria Single Vegmo,Matricaria Vegmo,Matricaria,Inv 5,SIN_DATO,MOSCA_BLANCA,sem 28-30,ISO,ALERTA_PREVENTIVA,EN_MANEJO,alta,campo_siembras.csv COMENTARIOS,"Sem24: Prendimiento excelente uniforme. Amarillamiento inferior — patron Inv 5. Preventivo mosca blanca OBLIGATORIO sem 28-30."
25,Rosas de jardín,SIN_HOMOLOGAR,Rosa,Inv 1,SIN_DATO,MILDEO,SIN_DATO,SIN_DATO,RECURRENTE,EN_MANEJO,alta,01-infraestructura/01-invernaderos.md,"Ventilacion buena por viento, pero humedad nocturna alta -> mildeo en rosas"
26,Lisianthus,SIN_HOMOLOGAR,Lisianthus,3B,SIN_DATO,FUSARIUM_BOTRYTIS_OIDIO,SIN_DATO,SIN_DATO,RECURRENTE,EN_MANEJO,alta,01-infraestructura/01-invernaderos.md,"Salinidad activa confirmada (C.E. 0.829) · Fusarium + Botrytis + Oidium en lisianthus"
27,TODAS,N/A,N/A,Inv 4,SIN_DATO,FUSARIUM,SIN_DATO,SIN_DATO,INOCULO_EN_SUELO,EN_MANEJO,alta,01-infraestructura/01-invernaderos.md,"Fusarium generalizado en suelo, manejado con rotacion biosupresora (intercalar marigold, gomphrena, matricaria entre ciclos de lisianthus)"
28,TODAS,N/A,N/A,3C,SIN_DATO,MOSCA_BLANCA,SIN_DATO,SIN_DATO,INOCULO_EN_SUELO,EN_MANEJO,alta,01-infraestructura/01-invernaderos.md,"Inoculo de mosca blanca en suelo — evitar Matricaria Vegmo Single aqui y en Inv 5"
29,TODAS,N/A,N/A,Inv 5,SIN_DATO,MOSCA_BLANCA,SIN_DATO,SIN_DATO,INOCULO_EN_SUELO,EN_MANEJO,alta,01-infraestructura/01-invernaderos.md,"Inoculo de mosca blanca en suelo — evitar Matricaria Vegmo Single"
