grupo,variedad,nombre_completo,familia_color,hex_referencia,rol_estructural,origen,confianza_color,notas,subtipo
Lisianthus,Megalo 3 Pink Rim,Lisianthus Megalo 3 Pink Rim,BLANCO_BORDE_ROSA,#FCE4EC,FOCAL,DCB,alta,Bicolor — borde rosa sobre blanco,
Lisianthus,Megalo 3 Pink Pop,Lisianthus Megalo 3 Pink Pop,ROSA_FUERTE,#D81B60,FOCAL,DCB,alta,Ciclo largo 19-23 sem a campo,
Lisianthus,Celeb 2 Madonna,Lisianthus Celeb 2 Madonna,BLANCO,#FFFFFF,FOCAL,DCB,media,Madonna = blanco puro,
Lisianthus,Celeb 2 Apricot,Lisianthus Celeb 2 Apricot,ALBARICOQUE,#FFCC80,FOCAL,DCB,alta,Color explícito en el nombre,
Lisianthus,Corelli I Yellow,Lisianthus Corelli I Yellow,AMARILLO,#FDD835,FOCAL,DCB,alta,Color explícito en el nombre,
Lisianthus,Megalo I Yellow,Lisianthus Megalo I Yellow,AMARILLO,#FDD835,FOCAL,DCB,alta,Color explícito en el nombre,
Lisianthus,Celeb 2 Crystal,Lisianthus Celeb 2 Crystal,BLANCO,#FAFAFA,FOCAL,DCB,media,Crystal = blanco cristalino,
Lisianthus,Celeb 2 White Imp,Lisianthus Celeb 2 White Imp,BLANCO,#FFFFFF,FOCAL,DCB,alta,Color explícito en el nombre,
Lisianthus,Celeb 2 Lovely Pink,Lisianthus Celeb 2 Lovely Pink,ROSA_CLARO,#F8BBD0,FOCAL,DCB,alta,Color explícito en el nombre,
Limonium,Ruso,Limonium Ruso,MORADO,#7E57C2,RELLENO,DCB,media,Duplicado del grupo Statice — unificar,
Follaje,Ruscus,Ruscus,VERDE,#2E7D32,FOLLAJE,Comprado,alta,Follaje comprado — base estructural,
Follaje,Eucalyptus Parvifolia,Eucalyptus Parvifolia,VERDE_GRIS,#78909C,FOLLAJE,Comprado,alta,Follaje comprado,
Follaje,Silver Dollar,Eucalyptus Silver Dollar,VERDE_PLATA,#B0BEC5,FOLLAJE,Comprado,alta,Follaje comprado,
Follaje,Helecho,Helecho,VERDE,#388E3C,FOLLAJE,Comprado,alta,Follaje comprado — según largo,
Boca de Dragón,Opus Lavender,Snapdragon Opus Lavender,LAVANDA,#9575CD,LINEA,DCB,alta,AGREGADA desde variedades_bitacora.csv: vende muy bien y combina muy bien. Deberia estar mas constante en programacion. 2-3 camas,
Boca de Dragón,Opus Bronze Early,Snapdragon Opus Bronze Early,BRONCE,#C68642,LINEA,DCB,alta,AGREGADA desde variedades_bitacora.csv: naranja con toque rosado. Ciclo 9 sem. Necesita plastico contra malezas,
Gomphrena,Quis Red,Gomphrena Quis Red,ROJO,#C62828,RELLENO,DCB,alta,AGREGADA desde variedades_bitacora.csv: complemento perfecto de Carmine. Imprescindible en Navidad y Amor y Amistad,
Celosia,Cristata Enda Rose,Celosia Cristata Enda Rose,CORAL,#FF7043,FOCAL,DCB,alta,"Color de campo_siembras.csv columna Color: ""Rosado coral"". Vanessa 2026-09-10: en cosecha ahora, es el segundo color de cristata junto con Verda Green. 1 tallo/planta, 7,5 cm",cristata
Dahlias,Mix,Dahlia Mix,MIX,,FOCAL,DCB,baja,"MEZCLA — NO asignar color unico. Vanessa 2026-09-10: coleccion mixta de todos los colores, sin segmentar. Tres origenes: (1) esquejes comprados, blancas/rosadas/rojas compradas como esquejes a Ball (PROVEEDOR, confirmado por Vanessa 2026-09-10 — no es la forma ""bola""), florecen a la vez; (2) mixtas propias propagadas por division; (3) italianas regaladas, a sembrar sem 37. SIN conteo de plantas",
Esparrago,,Espárrago,VERDE,#558B2F,FOLLAJE,DCB,alta,"Vanessa 2026-09-10: follaje PROPIO sembrado de semilla, ENSAYO con buen resultado, la idea es sembrar mas. ~30 plantas (aproximado, pendiente contar). Cultivar/especie SIN CONFIRMAR",
Colitas de conejo,Lagurus ovatus,Colitas de conejo (Lagurus ovatus),BEIGE,#D7C9A8,TEXTURA,DCB,alta,"Color BEIGE confirmado por Vanessa 2026-09-10. Rol TEXTURA por el uso: 7 tallos en ""Dusty con colitas"", 1-3 en arreglos secos, 1 por yugo, 1 por boutonniere. 1.170 plantas en Inv 2, primera vez bajo invernadero, cosechando desde sem 32. El excedente se guarda seco para coronas de Navidad",
